City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
62,Labuhan,ID,76.6,broken clouds,-6.8844,112.2051,DoubleFAG
66,Nador,MA,84.45,clear sky,35.174,-2.9287,Hôtel La Giralda
67,Richards Bay,ZA,67.5,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
68,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
71,Hay River,CA,71.58,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
73,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
76,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
78,Nouadhibou,MR,80.58,few clouds,20.931,-17.0347,El Medina
80,Inirida,CO,78.58,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
81,Norman Wells,CA,69.84,broken clouds,65.282,-126.8329,Heritage Hotel
